Comment,Designator,Footprint,LCSC
ColorSensor,J4,PinHeader_2x04_P2.54mm_Vertical,
Conn_01x06,J5,PinHeader_2x03_P2.54mm_Vertical,
~,ToF1,VL6180X,
~,color2,TCS34725,
~,color1,TCS34725,
330,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
22k,R14,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
22k,R16,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
330,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
330,R17,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0.33u,C2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
ColorSensor,J3,PinSocket_2x04_P2.54mm_Vertical,
330,R11,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
330,R19,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
330,R23,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
330,R21,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
22k,R12,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
47u,C1,CP_Radial_D5.0mm_P2.00mm,
22k,R10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
330,R15,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
160,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
22k,R24,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
330,R13,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
22k,R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_01x06,J2,PinSocket_2x03_P2.54mm_Vertical,
22k,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
22k,R22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_02x10,J1,PinHeader_2x10_P2.54mm_Vertical,
100R,FB1,L_Walsin_WLFM201209x,
330,R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
160,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
22k,R20,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
22k,R18,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
PQ3RD23,LDO1,TO-220-4_Vertical,
22k,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
330,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
RPR-220,A9,PHODET_RPR-220,
RPR-220,A6,PHODET_RPR-220,
RPR-220,A10,PHODET_RPR-220,
RPR-220,A5,PHODET_RPR-220,
RPR-220,A8,PHODET_RPR-220,
RPR-220,A1,PHODET_RPR-220,
RPR-220,A7,PHODET_RPR-220,
RPR-220,A11,PHODET_RPR-220,
RPR-220,A2,PHODET_RPR-220,
RPR-220,A3,PHODET_RPR-220,
RPR-220,A4,PHODET_RPR-220,
~,ToF2,VL6180X,
